代码,名称,总市值_亿
002352,顺丰控股,1667.12
002353,杰瑞股份,970.22
002354,天娱数科,116.24
002361,神剑股份,123.21
002364,中恒电气,312.82
002366,融发核电,127.67
002371,北方华创,4561.85
002372,伟星新材,147.53
002373,千方科技,110.34
002378,章源钨业,345.75
002379,宏桥控股,241.59
002384,东山精密,2953.56
002385,大北农,116.03
002387,维信诺,112.02
002389,航天彩虹,194.39
002396,星网锐捷,171.86
002399,海普瑞,123.97
002400,省广集团,140.16
002402,和而泰,222.57
002405,四维图新,205.64
002407,多氟多,363.54
002408,齐翔腾达,140.31
002409,雅克科技,342.95
002410,广联达,155.44
002413,雷科防务,135.63
002414,高德红外,437.4
002415,海康威视,2764.58
002416,爱施德,129
002422,科伦药业,472.31
